Id,Remark,Type,Score,BaseMap,Framework,BaseMap,Framework,,,,,,,,
long,str,int,int,str,str,str,str,,,,,,,,
序号,备注,类型,基础成本,底图,框架,Item底图,Item框架,,,,,,,,
210000,挂轴,1,50,210000BaseMap,210000Framework,210000ItemBaseMap,210000ItemFramework,,,,,,,,
210001,文件夹,2,55,210001BaseMap,210001Framework,210001ItemBaseMap,210001ItemFramework,,,,,,,,
210002,帆布包,3,60,210002BaseMap,210002Framework,210002ItemBaseMap,210002ItemFramework,,,,,,,,
210003,明信片,4,65,210003BaseMap,210003Framework,210003ItemBaseMap,210003ItemFramework,,,,,,,,
210004,立牌,5,70,210004BaseMap,210004Framework,210004ItemBaseMap,210004ItemFramework,,,,,,,,
210005,毯子_星织款,6,75,210005BaseMap,210005Framework,210005ItemBaseMap,210005ItemFramework,,,,,,,,
210006,毯子_漫印款,6,80,210006BaseMap,210006Framework,210006ItemBaseMap,210006ItemFramework,,,,,,,,
210007,毯子_夜织款,6,85,210007BaseMap,210007Framework,210007ItemBaseMap,210007ItemFramework,,,,,,,,
210008,抱枕_软拥款,7,90,210008BaseMap,210008Framework,210008ItemBaseMap,210008ItemFramework,,,,,,,,
210009,抱枕_双面款,7,95,210009BaseMap,210009Framework,210009ItemBaseMap,210009ItemFramework,,,,,,,,
210010,抱枕_半身款,7,100,210010BaseMap,210010Framework,210010ItemBaseMap,210010ItemFramework,,,,,,,,
210011,画册_原画款,8,105,210011BaseMap,210011Framework,210011ItemBaseMap,210011ItemFramework,,,,,,,,
210012,画册_典藏款,8,110,210012BaseMap,210012Framework,210012ItemBaseMap,210012ItemFramework,,,,,,,,
210013,画册_全彩款,8,115,210013BaseMap,210013Framework,210013ItemBaseMap,210013ItemFramework,,,,,,,,
210014,徽章_亮闪款,9,120,210014BaseMap,210014Framework,210014ItemBaseMap,210014ItemFramework,,,,,,,,
210015,徽章_哑光款,9,125,210015BaseMap,210015Framework,210015ItemBaseMap,210015ItemFramework,,,,,,,,
210016,徽章_闪银款,9,130,210016BaseMap,210016Framework,210016ItemBaseMap,210016ItemFramework,,,,,,,,
210017,海报,10,135,210017BaseMap,210017Framework,210017ItemBaseMap,210017ItemFramework,,,,,,,,
210018,镭射票,11,140,210018BaseMap,210018Framework,210018ItemBaseMap,210018ItemFramework,,,,,,,,
210019,手机壳,12,145,210019BaseMap,210019Framework,210019ItemBaseMap,210019ItemFramework,,,,,,,,
